objects,sensors,filter,lang,timeout,avg_ms,std_ms,status,timestamp
5,1,LMB-LBP,rust,1,0.9440,0.8181,OK,2026-01-07T14:58:05
5,1,LMB-Gibbs,rust,1,0.5375,0.2223,OK,2026-01-07T14:58:05
5,1,LMB-Murty,rust,1,9.7234,5.4462,OK,2026-01-07T14:58:06
5,1,LMB-LBP,python,2,0.7084,0.6957,OK,2026-01-07T14:58:29
5,1,LMB-Gibbs,python,2,0.3948,0.1642,OK,2026-01-07T14:58:31
5,1,LMB-Murty,python,2,9.2380,5.2523,OK,2026-01-07T14:58:34
5,2,AA-LMB-LBP,rust,2,5.1904,3.6989,OK,2026-01-07T14:58:49
5,2,AA-LMB-LBP,python,2,4.9434,3.2746,OK,2026-01-07T14:58:49
5,2,IC-LMB-LBP,rust,2,0.8945,0.6074,OK,2026-01-07T14:58:51
5,2,IC-LMB-LBP,python,2,0.8909,0.6365,OK,2026-01-07T14:58:52
5,2,PU-LMB-LBP,rust,2,0.3546,0.1015,OK,2026-01-07T14:58:57
5,2,PU-LMB-LBP,python,2,0.3560,0.1172,OK,2026-01-07T14:58:57
5,2,GA-LMB-LBP,rust,2,0.2884,0.1397,OK,2026-01-07T14:58:59
5,2,GA-LMB-LBP,python,2,0.2820,0.1539,OK,2026-01-07T14:58:59
5,2,MS-LMBM-Gibbs,rust,2,5.3823,1.4966,OK,2026-01-07T14:59:02
5,2,MS-LMBM-Gibbs,python,2,5.2373,1.4963,OK,2026-01-07T14:59:02
10,1,LMB-LBP,rust,2,1.5805,1.1471,OK,2026-01-07T14:59:02
10,1,LMB-LBP,python,2,1.4710,1.0745,OK,2026-01-07T14:59:03
10,1,LMB-Gibbs,rust,2,0.7358,0.3364,OK,2026-01-07T14:59:03
10,1,LMB-Gibbs,python,2,0.7367,0.3341,OK,2026-01-07T14:59:03
10,2,AA-LMB-LBP,rust,2,15.9004,7.7471,OK,2026-01-07T14:59:09
10,2,AA-LMB-LBP,python,2,16.2098,7.9831,OK,2026-01-07T14:59:10
10,2,IC-LMB-LBP,rust,2,2.5975,1.3708,OK,2026-01-07T14:59:11
10,2,IC-LMB-LBP,python,2,2.6776,1.3832,OK,2026-01-07T14:59:11
10,2,PU-LMB-LBP,rust,2,0.8150,0.3844,OK,2026-01-07T14:59:11
10,2,PU-LMB-LBP,python,2,0.7696,0.3458,OK,2026-01-07T14:59:11
10,2,GA-LMB-LBP,rust,2,0.5714,0.3786,OK,2026-01-07T14:59:11
10,2,GA-LMB-LBP,python,2,0.5788,0.3561,OK,2026-01-07T14:59:11
10,2,MS-LMBM-Gibbs,rust,2,9.5792,1.8817,OK,2026-01-07T14:59:12
10,2,MS-LMBM-Gibbs,python,2,9.6744,1.9980,OK,2026-01-07T14:59:13
10,4,IC-LMB-LBP,rust,2,5.5582,2.4140,OK,2026-01-07T14:59:18
10,4,IC-LMB-LBP,python,2,5.5289,2.4482,OK,2026-01-07T14:59:19
10,4,PU-LMB-LBP,rust,2,11.5951,11.8926,OK,2026-01-07T14:59:20
10,4,PU-LMB-LBP,python,2,11.4168,11.3688,OK,2026-01-07T14:59:21
10,4,GA-LMB-LBP,rust,2,0.9786,0.6872,OK,2026-01-07T14:59:21
10,4,GA-LMB-LBP,python,2,0.9871,0.6631,OK,2026-01-07T14:59:21
20,1,LMB-LBP,rust,2,7.2377,7.1282,OK,2026-01-07T14:59:26
20,1,LMB-LBP,python,2,7.1666,6.8376,OK,2026-01-07T14:59:27
20,1,LMB-Gibbs,rust,2,1.6868,0.8975,OK,2026-01-07T14:59:27
20,1,LMB-Gibbs,python,2,1.6541,0.8569,OK,2026-01-07T14:59:27
20,2,IC-LMB-LBP,rust,2,10.7932,9.3316,OK,2026-01-07T14:59:29
20,2,IC-LMB-LBP,python,2,10.8608,9.3376,OK,2026-01-07T14:59:30
20,2,PU-LMB-LBP,rust,2,2.2394,0.7805,OK,2026-01-07T14:59:30
20,2,PU-LMB-LBP,python,2,2.1244,0.7292,OK,2026-01-07T14:59:30
20,2,GA-LMB-LBP,rust,2,1.8408,1.8560,OK,2026-01-07T14:59:31
20,2,GA-LMB-LBP,python,2,1.7947,1.7711,OK,2026-01-07T14:59:31
20,4,IC-LMB-LBP,rust,2,19.4869,7.8999,OK,2026-01-07T14:59:33
20,4,GA-LMB-LBP,rust,2,3.7443,4.3804,OK,2026-01-07T14:59:39
20,4,GA-LMB-LBP,python,2,3.5968,3.6801,OK,2026-01-07T14:59:40
20,8,GA-LMB-LBP,rust,2,7.6553,10.1688,OK,2026-01-07T14:59:43
20,8,GA-LMB-LBP,python,2,6.7895,7.4698,OK,2026-01-07T14:59:43
5,1,LMB-Murty,octave,5,33.7566,11.4638,OK,2026-01-07T15:00:57
5,1,LMBM-Gibbs,rust,5,43.7710,9.7828,OK,2026-01-07T15:01:07
5,1,LMBM-Gibbs,python,5,43.9544,10.4212,OK,2026-01-07T15:01:11
5,1,LMBM-Murty,rust,5,29.5706,5.3560,OK,2026-01-07T15:01:20
5,1,LMBM-Murty,python,5,29.5394,5.3591,OK,2026-01-07T15:01:23
5,2,LMBM-Gibbs,rust,5,42.4236,9.7488,OK,2026-01-07T15:01:27
5,2,LMBM-Gibbs,python,5,42.2146,9.4314,OK,2026-01-07T15:01:31
5,2,LMBM-Murty,rust,5,29.6542,5.7217,OK,2026-01-07T15:01:34
5,2,LMBM-Murty,python,5,29.1542,4.9224,OK,2026-01-07T15:01:37
5,2,PU-LMB-LBP,octave,5,42.4279,23.2786,OK,2026-01-07T15:01:52
